answer,mean
가렴주구,백성들을 아주 모질고 못살게 만듦
각골난망,남이 베푼 은덕에 대한 고마움을 마음속 깊숙이 사무치어 잊을 수 없다는 뜻
감개무량,그지없도록 마음속 깊이 스며들어 느낌
감언이설,귀가 솔깃하도록 남의 비위를 맞추거나 이로운 조건을 내세워 꾀는 말
감지덕지,분에 넘치는 듯싶어 매우 고맙게 여기는 모양
감탄고토,‘달면 삼키고 쓰면 뱉는다.’는 뜻으로 자신의 비위에 따라서 사리의 옳고 그름을 판단함을 이르는 말
개과천선,지난날의 잘못을 고치어 착하게 됨
거두절미,머리와 꼬리를 잘라버린다.'는 뜻으로 앞뒤의 잔사설을 빼놓고 요점만을 말함. 앞뒤를 생략하고 본론으로 들어감
거익태산,‘갈수록 태산’이라는 뜻으로 점점 힘들고 어려운 지경에 처함을 이르는 말
거자필반,헤어진 사람은 언젠가 반드시 돌아오게 된다는 말
건곤일척,‘주사위를 던져 승패를 건다.’는 뜻으로 운명을 걸고 단판걸이로 승부를 겨룸을 이르는 말
격세지감,오래지 않은 동안에 몰라보게 변하여 아주 다른 세상이 된 것 같은 느낌
견리망의,눈앞의 이익을 보면 탐내어 의리를 저버림
견물생심,물건을 보면 욕심이 생긴다.'는 뜻
견원지간,‘개와 원숭이의 사이’라는 뜻으로 사이가 매우 나쁜 두 관계를 비유적으로 이르는 말
결자해지,‘맺은 사람이 풀어야 한다’는 뜻으로 자기가 저지른 일은 자기가 해결하여야 함을 이르는 말
결초보은,죽은 뒤에라도 은혜를 잊지 않고 갚음을 이르는 말
경거망동,‘가볍고 망령되게 행동한다.’는 뜻으로 경솔하여 생각 없이 망령되게 행동함 또는 그런 행동
고진감래,‘쓴 것이 다하면 단 것이 온다.’는 뜻으로 고생 끝에 즐거움이 옴을 이르는 말
공사다망,공적인 일 사적인 일 따위로 매우 바쁨
과유불급,‘정도를 지나침은 미치지 못함과 같다.’는 뜻으로 중용이 중요함을 이르는 말
괄목상대,‘눈을 비비고 상대편을 본다.’는 뜻으로 남의 학식이나 재주가 놀랄 만큼 부쩍 늚을 이르는 말
구우일모,‘아홉 마리의 소 가운데 박힌 하나의 털’이란 뜻으로 매우 많은 것 가운데 극히 적은 수를 이르는 말
군계일학,‘닭의 무리 가운데에서 한 마리의 학' 이란 뜻으로 많은 사람 가운데서 뛰어난 인물을 이르는 말
권모술수,목적 달성을 위해서는 인정이나 도덕을 가리지 않고 권세와 모략 중상 등 갖은 방법과 수단을 쓰는 술책
근묵자흑,‘먹을 가까이하는 사람은 검어진다.’는 뜻으로 나쁜 사람과 가까이 지내면 나쁜 버릇에 물들기 쉬움을 비유적으로 이르는 말
